timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,is_closed
2024-05-23 12:00:00,175.67,176.99,168.82,172.7,1271448.966,2024-05-23 15:59:59,219777785.71882,226342,631728.865,109206448.49238,True
2024-05-23 16:00:00,172.69,175.25,170.54,170.92,534440.056,2024-05-23 19:59:59,92211705.47097,123278,302934.486,52275360.20446,True
2024-05-23 20:00:00,170.92,181.04,165.35,176.16,1720230.634,2024-05-23 23:59:59,299603991.44371,363607,907636.615,158106834.79662,True
2024-05-24 00:00:00,176.15,176.15,171.53,172.01,782830.773,2024-05-24 03:59:59,135654497.12322,125485,489962.291,84916037.03478,True
2024-05-24 04:00:00,172.0,172.01,165.12,166.16,1309117.631,2024-05-24 07:59:59,220006843.7621,226118,737702.968,123923847.57545,True
2024-05-24 08:00:00,166.15,166.62,162.5,166.34,932422.118,2024-05-24 11:59:59,153832820.35158,151631,517191.129,85356965.71795,True
2024-05-24 12:00:00,166.34,169.12,165.11,167.29,951745.55,2024-05-24 15:59:59,159088803.09197,163112,425421.324,71110208.10775,True
2024-05-24 16:00:00,167.29,170.61,164.73,168.33,600377.852,2024-05-24 19:59:59,100674108.92502,130250,302087.884,50687688.19336,True
2024-05-24 20:00:00,168.33,168.75,166.66,167.7,243166.718,2024-05-24 23:59:59,40771485.05682,60021,120324.76,20177914.27332,True
2024-05-25 00:00:00,167.7,169.8,165.9,169.66,356935.032,2024-05-25 03:59:59,60016909.90833,78972,165016.363,27748397.7831,True
2024-05-25 04:00:00,169.65,170.16,168.11,168.99,242806.162,2024-05-25 07:59:59,41099683.68161,63821,113009.349,19136392.01366,True
2024-05-25 08:00:00,168.99,170.55,168.37,168.61,394336.979,2024-05-25 11:59:59,66811662.81956,77947,188608.643,31959184.77792,True
2024-05-25 12:00:00,168.61,168.91,166.48,167.83,389874.692,2024-05-25 15:59:59,65472230.88797,81405,185332.717,31126690.45694,True
2024-05-25 16:00:00,167.83,168.08,166.35,167.23,283289.871,2024-05-25 19:59:59,47373956.03686,56450,131104.133,21924986.64691,True
2024-05-25 20:00:00,167.23,168.66,166.55,168.35,244200.399,2024-05-25 23:59:59,40916869.44936,46838,130273.515,21833644.2278,True
2024-05-26 00:00:00,168.35,168.4,164.81,166.28,375134.79,2024-05-26 03:59:59,62441437.66602,72936,179898.59,29958236.539,True
2024-05-26 04:00:00,166.28,167.02,164.56,165.33,420874.581,2024-05-26 07:59:59,69797752.10714,74467,190302.778,31576303.872,True
2024-05-26 08:00:00,165.33,165.65,162.23,164.02,715298.217,2024-05-26 11:59:59,117212908.75008,112872,353296.454,57883848.12076,True
2024-05-26 12:00:00,164.03,165.85,162.37,162.85,623994.432,2024-05-26 15:59:59,102425726.52489,113272,323328.439,53098418.82075,True
2024-05-26 16:00:00,162.85,163.49,161.14,162.71,622801.152,2024-05-26 19:59:59,101102438.73766,101130,326223.736,52964008.74481,True
2024-05-26 20:00:00,162.71,164.16,161.0,163.41,368014.817,2024-05-26 23:59:59,59914507.63187,62883,189591.603,30884816.18118,True
2024-05-27 00:00:00,163.42,166.65,163.26,165.38,580611.171,2024-05-27 03:59:59,95929778.49376,99722,329982.613,54533286.48849,True
2024-05-27 04:00:00,165.38,166.43,163.83,165.52,421905.521,2024-05-27 07:59:59,69699683.4161,72243,203989.803,33707410.79908,True
2024-05-27 08:00:00,165.53,168.08,165.0,167.74,517665.741,2024-05-27 11:59:59,86197700.3773,94598,289158.278,48163205.23645,True
2024-05-27 12:00:00,167.73,171.47,166.68,171.04,725623.665,2024-05-27 15:59:59,122456247.11684,128081,386116.67,65166547.97678,True
2024-05-27 16:00:00,171.03,172.28,166.98,168.65,660496.813,2024-05-27 19:59:59,112820583.58822,121588,298008.062,50917745.02457,True
2024-05-27 20:00:00,168.64,171.67,168.36,170.15,353714.144,2024-05-27 23:59:59,60240149.95638,75248,180968.599,30816029.31332,True
2024-05-28 00:00:00,170.15,172.09,166.05,167.4,701626.042,2024-05-28 03:59:59,118304636.85335,136543,331923.671,55988678.39534,True
2024-05-28 04:00:00,167.4,167.58,164.92,166.09,462066.447,2024-05-28 07:59:59,76774008.22354,86433,215637.077,35834847.74669,True
2024-05-28 08:00:00,166.1,170.38,165.88,169.81,542867.486,2024-05-28 11:59:59,91529454.94766,98043,292688.264,49350272.33736,True
2024-05-28 12:00:00,169.81,173.24,166.72,168.28,1229770.337,2024-05-28 15:59:59,209117816.76915,224612,628050.45,106895756.71581,True
2024-05-28 16:00:00,168.3,170.78,166.0,170.39,605597.764,2024-05-28 19:59:59,101589850.62802,115600,294333.014,49388058.66774,True
2024-05-28 20:00:00,170.39,170.74,168.31,168.68,237323.267,2024-05-28 23:59:59,40207132.59123,52833,119393.305,20229186.67692,True
2024-05-29 00:00:00,168.68,172.55,167.44,172.35,378770.046,2024-05-29 03:59:59,64386736.20715,81749,193184.182,32859999.39224,True
2024-05-29 04:00:00,172.35,173.93,170.79,170.8,519578.268,2024-05-29 07:59:59,89546011.33888,107376,276812.019,47729495.28004,True
2024-05-29 08:00:00,170.81,171.06,167.56,168.28,565052.797,2024-05-29 11:59:59,95517761.53331,117047,259869.81,43936192.80309,True
2024-05-29 12:00:00,168.28,170.0,167.0,168.6,608571.457,2024-05-29 15:59:59,102665018.33325,120104,275019.875,46394638.18682,True
2024-05-29 16:00:00,168.61,171.86,167.53,169.41,614669.599,2024-05-29 19:59:59,104475839.82308,121075,310631.377,52815514.01983,True
2024-05-29 20:00:00,169.41,169.94,167.77,168.32,259635.127,2024-05-29 23:59:59,43852261.48033,60556,120701.95,20393500.94341,True
2024-05-30 00:00:00,168.32,170.97,167.9,169.99,336282.029,2024-05-30 03:59:59,56935810.72887,65664,185941.457,31483435.07774,True
2024-05-30 04:00:00,169.99,170.89,164.23,165.0,714643.545,2024-05-30 07:59:59,119385865.47374,122257,299328.24,50035352.0385,True
2024-05-30 08:00:00,164.99,167.28,163.55,166.2,498420.891,2024-05-30 11:59:59,82484560.41935,93293,252433.17,41796936.66669,True
2024-05-30 12:00:00,166.2,169.66,166.0,168.48,625043.108,2024-05-30 15:59:59,105112363.82584,114872,290446.098,48828547.75867,True
2024-05-30 16:00:00,168.47,173.0,167.88,168.42,757940.496,2024-05-30 19:59:59,129130480.44455,130606,389870.993,66474722.76329,True
2024-05-30 20:00:00,168.43,168.43,166.18,166.88,375436.978,2024-05-30 23:59:59,62721087.85786,65803,193969.926,32405197.93014,True
2024-05-31 00:00:00,166.88,167.56,165.52,167.24,237144.66,2024-05-31 03:59:59,39539745.4457,55590,122102.48,20366391.96478,True
2024-05-31 04:00:00,167.25,167.68,165.0,166.62,294917.926,2024-05-31 07:59:59,49015474.34887,59493,136287.803,22658020.97415,True
2024-05-31 08:00:00,166.62,168.98,166.03,168.75,343860.024,2024-05-31 11:59:59,57595887.39819,61968,198355.675,33223803.29766,True
2024-05-31 12:00:00,168.74,170.94,164.75,164.81,1015530.491,2024-05-31 15:59:59,170517874.08613,160721,460290.235,77344231.61105,True
2024-05-31 16:00:00,164.81,167.01,163.67,166.33,456687.321,2024-05-31 19:59:59,75493625.20809,87653,231899.325,38348676.45609,True
2024-05-31 20:00:00,166.34,167.04,165.04,165.65,244595.966,2024-05-31 23:59:59,40653746.45957,50714,109195.602,18153300.54408,True
2024-06-01 00:00:00,165.65,167.82,165.64,167.02,229778.357,2024-06-01 03:59:59,38362697.74564,43165,115566.112,19287700.21212,True
2024-06-01 04:00:00,167.02,167.45,166.3,166.85,150431.556,2024-06-01 07:59:59,25116283.27297,32129,67014.092,11191288.8106,True
2024-06-01 08:00:00,166.85,167.36,166.56,166.88,181278.299,2024-06-01 11:59:59,30269518.30256,36049,86884.912,14508852.37996,True
2024-06-01 12:00:00,166.89,167.95,166.78,167.31,179675.638,2024-06-01 15:59:59,30067977.60907,36256,97538.157,16322654.97304,True
2024-06-01 16:00:00,167.31,167.66,166.85,167.45,134291.591,2024-06-01 19:59:59,22454201.73214,31376,62294.095,10416365.05019,True
2024-06-01 20:00:00,167.43,167.77,165.69,166.14,195043.487,2024-06-01 23:59:59,32553753.45543,35979,82234.548,13727852.20069,True
2024-06-02 00:00:00,166.14,167.1,165.42,166.2,225049.675,2024-06-02 03:59:59,37442879.56375,40791,110818.785,18441845.65977,True
2024-06-02 04:00:00,166.2,166.53,164.93,165.02,211143.197,2024-06-02 07:59:59,34998558.34935,36324,94952.556,15744711.16159,True
2024-06-02 08:00:00,165.02,166.16,164.0,166.05,276064.453,2024-06-02 11:59:59,45516411.63657,51235,142867.282,23561277.67663,True
2024-06-02 12:00:00,166.05,166.29,164.61,165.16,260463.365,2024-06-02 15:59:59,43068532.73271,46905,140079.375,23163324.34281,True
2024-06-02 16:00:00,165.17,165.37,161.32,163.12,498173.663,2024-06-02 19:59:59,81324840.20654,93258,258704.894,42242222.75313,True
2024-06-02 20:00:00,163.11,163.74,161.73,163.15,198683.633,2024-06-02 23:59:59,32371714.00594,40295,106049.926,17281298.74796,True
2024-06-03 00:00:00,163.14,165.23,161.79,163.59,372640.329,2024-06-03 03:59:59,61065210.79064,65670,180999.24,29665453.7233,True
2024-06-03 04:00:00,163.59,165.79,162.64,165.35,305890.845,2024-06-03 07:59:59,50363150.34744,58457,175079.394,28832032.23013,True
2024-06-03 08:00:00,165.35,166.85,164.51,164.83,271345.305,2024-06-03 11:59:59,44916087.62319,59738,133755.105,22142286.12083,True
2024-06-03 12:00:00,164.82,167.21,163.0,164.83,699068.522,2024-06-03 15:59:59,115593353.12221,112335,342950.199,56740110.61264,True
2024-06-03 16:00:00,164.84,166.99,163.5,166.93,502979.788,2024-06-03 19:59:59,83144053.04934,68541,271234.769,44852435.52077,True
2024-06-03 20:00:00,166.94,167.2,164.43,164.89,226091.743,2024-06-03 23:59:59,37479933.0728,44939,116218.722,19274879.52488,True
